Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
                0.00    0.01  201120/3090564     MkLiuSPH::Art_Bnd_Repel() [36]
                0.01    0.08 2889444/3090564     MkLiuSPH::Direct_Bnd_Find() [13]
[29]     0.2    0.01    0.08 3090564         MkPlane::GetNearestPoint(MkPoint&) [29]
                0.06    0.00 3090564/9070572     MkPlane::GetDistance(MkPoint&) [19]
                0.02    0.00 3090564/3122600     MkPoint::MkPoint(double, double, double) [41]
-----------------------------------------------
                0.01    0.08 4546683/4546683     MkLiuPairs::Initialize(int) [25]
[30]     0.2    0.01    0.08 4546683         MkLiuPair::MkLiuPair() [30]
                0.08    0.00 4546683/4546683     MkLiuPair::Clear() [31]
-----------------------------------------------
                0.08    0.00 4546683/4546683     MkLiuPair::MkLiuPair() [30]
[31]     0.2    0.08    0.00 4546683         MkLiuPair::Clear() [31]
-----------------------------------------------
                0.02    0.05    2001/2001        MkLiuSPH::Single_Step() [3]
[32]     0.2    0.02    0.05    2001         MkLiuSPH::Ext_Force() [32]
                0.03    0.00 11572552/3307266707     MkLiuParticles::operator[](int) [6]
                0.02    0.00 8683108/235666249     MkLiuPairs::operator[](int) [14]
